id_flood,name,dcode,location,type_gate,num_gate,size
33,ประตูระบายน้ำคลองวัดเศวต เจริญนคร 4,1018,POINT (100.50936448658379 13.725677072201258),01,1,กว้าง4.0ม.*สูง4.0ม.
60,ประตูระบายน้ำคลองวัดทองเพลง เจริญนคร 2,1018,POINT (100.5042933948422 13.725081055285646),01,1,กว้าง5.0ม.*สูง4.0ม.
34,ประตูระบายน้ำคลองบุบผาราม,1015,POINT (100.49027274811003 13.736289358879786),01,1,กว้าง4.0ม.*สูง4.0ม.
52,ประตูระบายนน้ำคลองบางบูน,1024,POINT (100.50512264526989 13.68236149018432),03,1,กว้าง4.0ม.*สูง5.0ม.
35,ประตูระบายน้ำคลองบางค้อ(ตอนถนนวุฒากาศ),1015,POINT (100.47190756978142 13.716772898193287),01,1,กว้าง4.0ม.*สูง4.0ม.
65,ประตูระบายน้ำคลองต้นไทร เจริญนคร 3,1018,POINT (100.51137180409837 13.728171357269067),01,1,กว้าง6.0ม.*สูง4.0ม.
66,ประตูระบายน้ำประตูเรือสัญจร วัดลูกวัว,1021,POINT (100.44192004241144 13.57046096974983),03,1,กว้าง6.0ม.*สูง4.0ม.
9,ประตูระบายน้ำลองแยกคลองเชิงตาแพ,1021,POINT (100.4317093327903 13.572972516726155),03,1,กว้าง4.0ม.*สูง3.5ม.
10,ประตูระบายน้ำลองรางยายเพียร,1021,POINT (100.43409298227742 13.593654448846586),03,1,กว้าง4.0ม.*สูง3.5ม.
36,ประตูระบายน้ำคลองรางยายคง,1021,POINT (100.4320637861463 13.500426782266585),03,1,กว้าง4.0ม.*สูง4.0ม.
37,ประตูระบายน้ำคลองหัวกระบือ,1021,POINT (100.44561130849065 13.57227871633681),03,1,กว้าง4.0ม.*สูง4.0ม.
38,ประตูระบายน้ำคลองรางโพธิ์,1021,POINT (100.41050820852777 13.610129003540669),03,1,กว้าง4.0ม.*สูง4.0ม.
39,ประตูระบายน้ำคลองบุญสขุ,1021,POINT (100.41311690939295 13.60692449272754),03,1,กว้าง4.0ม.*สูง4.0ม.
40,ประตูระบายน้ำคลองรางสะแก,1021,POINT (100.43413847837407 13.625493598222581),03,1,กว้าง4.0ม.*สูง4.0ม.
41,ประตูระบายน้ำคลองนา,1021,POINT (100.46847922479273 13.604962682935351),03,1,กว้าง4.0ม.*สูง4.0ม.
42,ประตูระบายน้ำคลองม่วง,1021,POINT (100.40192356292764 13.605240835275728),03,1,กว้าง4.0ม.*สูง4.0ม.
43,ประตูระบายน้ำคลองบางขนุน,1021,POINT (100.39199129311176 13.595294388213478),03,1,กว้าง4.0ม.*สูง4.0ม.
44,ประตูระบายน้ำคลองตรง,1021,POINT (100.41160101416054 13.614027709430657),03,1,กว้าง4.0ม.*สูง4.0ม.
45,ประตูระบายน้ำคลองวัดใหม่ภาวนา(ปากคลอง),1020,POINT (100.4681877068678 13.777540314990457),03,1,กว้าง4.0ม.*สูง4.0ม.
