id_flood,name,dcode,location,type_gate,num_gate,size,geometry
29,ประตูระบายน้ำปากคลองต้นไทร,1018,สะพานเจริญนคร 3,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.509028 13.729789)
30,ประตูระบายน้ำคลองห้าเจดีย์,1035,คลองด่าน ถ.วุฒากาศ,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.468477 13.701638)
31,ประตูระบายน้ำคลองสำเหร่ ถนนเทอไท,1015,ถ.เทอดไท,01,2,กว้าง4.0ม.*สูง4.0ม.,POINT (100.482126 13.72245)
32,ประตูระบายน้ำคลองวัดอนงค์,1018,ซอยอุทัย ถ.พญาไม้,01,2,กว้าง4.0ม.*สูง4.0ม.,POINT (100.498073 13.736411)
33,ประตูระบายน้ำคลองวัดเศวต เจริญนคร 4,1018,สะพานเจริญนคร 4,01,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.509364 13.725677)
60,ประตูระบายน้ำคลองวัดทองเพลง เจริญนคร 2,1018,สะพานเจริญนคร 2,01,1,กว้าง5.0ม.*สูง4.0ม.,POINT (100.504293 13.725081)
34,ประตูระบายน้ำคลองบุบผาราม,1015,ข้างสน.บุปผาราม,01,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.490273 13.736289)
52,ประตูระบายนน้ำคลองบางบูน,1024,ถ.ราษฏร์บูรณะ,03,1,กว้าง4.0ม.*สูง5.0ม.,POINT (100.505123 13.682361)
35,ประตูระบายน้ำคลองบางค้อ(ตอนถนนวุฒากาศ),1015,สะพานวุฒากาศ 2,01,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.471908 13.716773)
65,ประตูระบายน้ำคลองต้นไทร เจริญนคร 3,1018,สะพานเจริญนคร 3,01,1,กว้าง6.0ม.*สูง4.0ม.,POINT (100.511372 13.728171)
66,ประตูระบายน้ำประตูเรือสัญจร วัดลูกวัว,1021,ซ.เทียนทะเล25 ถ.บางขุนเทียน-ชายฝั่งทะเล,03,1,กว้าง6.0ม.*สูง4.0ม.,POINT (100.44192 13.570461)
9,ประตูระบายน้ำลองแยกคลองเชิงตาแพ,1021,ซ.เทียนทะเล25 ถ.บางขุนเทียน-ชายฝั่งทะเล,03,1,กว้าง4.0ม.*สูง3.5ม.,POINT (100.431709 13.572973)
10,ประตูระบายน้ำลองรางยายเพียร,1021,ซ.เทียนทะเล25 ถ.บางขุนเทียน-ชายฝั่งทะเล,03,1,กว้าง4.0ม.*สูง3.5ม.,POINT (100.434093 13.593654)
36,ประตูระบายน้ำคลองรางยายคง,1021,ถ.บางขุนเทียน-ชายฝั่งทะเล,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.432064 13.500427)
37,ประตูระบายน้ำคลองหัวกระบือ,1021,ถ.แสมดำ เขตบางุนเทียน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.445611 13.572279)
38,ประตูระบายน้ำคลองรางโพธิ์,1021,ถ.อนามัยงามเจริญ เขตบางขุนเทียน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.410508 13.610129)
39,ประตูระบายน้ำคลองบุญสขุ,1021,ถ.อนามัยงามเจริญ เขตบางขุนเทียน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.413117 13.606924)
40,ประตูระบายน้ำคลองรางสะแก,1021,ถ.อนามัยงามเจริญ เขตบางขุนเทียน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.434138 13.625494)
41,ประตูระบายน้ำคลองนา,1021,ถนนคลองกระออม-คลองสวน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.468479 13.604963)
42,ประตูระบายน้ำคลองม่วง,1021,ซ.บางกระดี่ 32 ถ.บางกระดี่ แขวงแสมดำ,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.401924 13.605241)
43,ประตูระบายน้ำคลองบางขนุน,1021,ซ.บางกระดี่ 32 ถ.บางกระดี่ แขวงแสมดำ,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.391991 13.595294)
44,ประตูระบายน้ำคลองตรง,1021,ซ.จุลพงษ์ ถ.บางขุนเทียน-ชายทะเล,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.411601 13.614028)
45,ประตูระบายน้ำคลองวัดใหม่ภาวนา(ปากคลอง),1020,ซ.วัดใหม่ภาวนา ถ.บางขุนนท์-ตลิ่งชัน,03,1,กว้าง4.0ม.*สูง4.0ม.,POINT (100.468188 13.77754)
