ข้อมูลคลองในพื้นที่เขต (สนน.และสนข.),,,,,,,,,
เขตคลองเตย,,,,,,,,,
12,คลองวัดทองนพคุณ,แม่น้ำเจ้าพระยา,สุดระยะคลอง  บริเวณ  ร.ร. ศิริธน, 3 - 4.50,440,-1.00,คลองสาน,,
,,แม่น้ำเจ้าพระยา,วัดทองนพคุณ, 3 - 5,230,-1.00,คลองสาน,,
13,คลองต้นนุ่น,ซอยเจริญนคร 46,ชุมชนต้นนุ่น,2,157,-1.00,คลองสาน,,
14,คลองเทพา,แม่น้ำเจ้าพระยา,สุดระยะที่กำหนดให้,1.50 - 2.20,230,-1.00,คลองสาน,,
15,คลองวัดทองเพลง,แม่น้ำเจ้าพระยา,โรงเรียนวัดทองเพลง, 4 - 7.5,"1,100",-1.00,คลองสาน,,
16,คลองหลังวัดพิชัยญาติ,คลองวัดน้อยใหม่,คลองข้างวัดอนงค์,2.20 - 4,180,-1.00,คลองสาน,,
17,คลองข้างวัดอนงค์,คลองสมเด็จเจ้าพระยา,คลองวัดพิชัยญาติ, 2.5 - 3,212,-1.00,คลองสาน,,
18,คลองพนาโรจน์,แม่น้ำเจ้าพระยา,ถนนเจริญนคร, 3 - 5.50,262,-1.00,คลองสาน,,
19,คลองโรงปลา,แม่น้ำเจ้าพระยา,ถนนเจริญนคร, 2 - 3,350,-1.00,คลองสาน,,
20,คลองแยกคลองวัดทองธรรมชาติ,คลองวัดทองธรรมชาติ,สุดระยะที่กำหนดให้, 1.60 - 2.80,250,-1.00,คลองสาน,,
21,คลองวัดน้อยเก่า,คลองหลังวัดพิชัยญาติ,สุดคลอง,2.5,72,-0.50,คลองสาน,,
,,,,,"9,703",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
,คู ลำราง ลำกระโดง,,,,,,,,
1,คูน้ำสารภี 1,คลองสมเด็จเจ้าพระยา,ถนนอิสรภาพ, 2.50 - 5.50,460,-1.00,คลองสาน,,
2,ลำกระโดงซอยอิสรภาพ  3,ปลายซอยอิสรภาพ 3,สุดระยะที่กำหนดให้,1.70 - 2.50,170,-1.00,คลองสาน,,
3,ลำกระโดงซอยเจริญนคร  18 ,ซอยเจริญนคร 18,ถนนเจริญนคร, 2.50 - 4,150,-1.00,คลองสาน,,
4,ลำกระโดงข้างที่ดินรถไฟ,แม่น้ำเจ้าพระยา,สุดระยะที่กำหนดให้, 2 - 7,300,-1.00,คลองสาน,,
5,ลำกระโดงซอยชุมชนสองร้อยห้อง,บริเวณบ้านเลขที่ 207,สุดระยะที่กำหนดให้,1.2,213,-1.00,คลองสาน,,
6,ลำกระโดงชุมชน ร.ร.มิตรผล,ถนนเจริญนคร,สุดระยะที่กำหนดให้, 1.2 - 3,87,-0.50,คลองสาน,,
7,ลำกระโดงซอยสมเด็จเจ้าพระยา  17,แม่น้ำเจ้าพระยา,สุดระยะที่กำหนดให้,4,152,-0.75,คลองสาน,,
8,ลำกระโดงสะพานดำ,ถนนเจริญรัถ,สุดระยะที่กำหนดให้ (ซอยสมบูรณ์),1.50 - 2.50,30,-0.50,คลองสาน,,
,,,,,"1,562",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
เขตคลองสามวา,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
,สำนักการระบายน้ำรับผิดชอบ,,,,,,,,
1,คลองซอยที่ 8,คลองสี่ตะวันออก,สุดเขต กทม.,34,"2,530",-2.00 ,คลองสามวา,,
2,คลองซอยที่ 9,คลองลำหิน,สุดเขต กทม.,34,"6,100",-2.00 ,คลองสามวา,,
3,คลองพระราชดำริ 1,คลองแสนแสบ,คลองสองตะวันออก, 15 - 20,"5,300",-2.00 ,คลองสามวา,,
4,คลองพระราชดำริ 2,คลองแสนแสบ,คลองสี่ตะวันออก, 15 - 20,"8,280",-2.00 ,คลองสามวา,,
5,คลองสามวา,ลำรางคลองสามวา,สุดเขต กทม., 14 - 25,"10,000",-2.50 ,คลองสามวา,,
,,,,,"32,210",,,,
,สำนักงานเขตรับผิดชอบ,,,,,,,,
1,คลองกีบหมู  (คลองสามวา),คลองหนึ่งตะวันตก,ลำรางคูคต, 10 - 15,"2,850",-2.00,คลองสามวา,,
2,คลองเกาะตาเทิ่ง  (เกาะเลา),คลองสองตะวันออก,คลองพระราชดำริ 2, 10 - 15,"3,400",-2.00,คลองสามวา,,
3,คลองเจ็ก  (คลองสามวา),คลองหนึ่งตะวันตก,สุดระยะที่กำหนดให้, 4 - 6,"1,300",-2.00,คลองสามวา,,
4,คลองซอยเชื่อมคลองลำแบน,คลองลำแบน,คลองหนองระแหง, 3 - 5,"1,600",-2.00,คลองสามวา,,
,กับคลองหนองระแหง,,,,,,,,
5,คลองด้วน,คลองมะเขือขื่น,สุดระยะที่กำหนดให้, 10 - 15,"1,000",-2.00,คลองสามวา,,
6,คลองตาหนวด,คลองพระราชดำริ 2,คลองบึงทรายกองดินและ, 10 - 15,"4,000",-2.00,คลองสามวา,,
,,,ลำรางบ่อหินแก้ว,,,,,,
,,,,,,,,,
,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
7,คลองบึงตาแดง,คลองบึงไผ่,คลองสองตะวันออก, 10 - 15,"2,500",-2.00,คลองสามวา,,
8,คลองบึงแตงโม  (คลองสามวา),คลองพระราชดำริ 2 ทรายกองดินใต้ ,คลองแบนขะโด,  5 - 10,"1,200",-2.00,คลองสามวา,,
9,คลองบึงทรายกองดิน,คลองแสนแสบ,คลองบึงไผ่, 5 -10,"3,100",-2.00,คลองสามวา,,
10,คลองแบนชะโด  (คลองสามวา),คลองระบายน้ำ,คลองเก้า, 20 - 25,"3,600",-2.00,คลองสามวา,,
11,คลองผักกะเฉด,คลองบางชัน,คลองกีบหมู, 6 - 12,"2,250",-2.00,คลองสามวา,,
12,คลองมะเขือขื่น, คลองพระราชดำริ 2,คลองเก้า, 10 - 15,"3,550",-2.00,คลองสามวา,,
13,คลองระบายน้ำ,คลองมะเขือขื่น,คลองบึงแตงโม, 4 - 6,"1,700",-2.00,คลองสามวา,,
14,คลองลัดตาเตี้ย,คลองแบนชะโด,คลองแสนแสบ, 3 - 4,"3,700",-2.00,คลองสามวา,,
15,คลองลาดกะดาน 1,สุดเขต กทม.,คลองลำกระดาน, 10 - 15,"1,100",-2.00,คลองสามวา,,
16,คลองลำกะดาน,คลองสี่ตะวันออก,สุดระยะที่กำหนดให้, 10 - 15,"6,200",-2.00,คลองสามวา,,
17,คลองลำกะโหลก,คลองพระยาสุเรนทร์,คลองหนึ่งตะวันตก, 10 - 15,"2,300",-2.00,คลองสามวา,,
18,คลองลำควายตาย,คลองบางชัน,คลองผักกะเฉด, 10 - 15,"1,600",-2.00,คลองสามวา,,
19,คลองลำแบน,คลองสามวา,สุดระยะที่กำหนดให้, 5 - 8,"2,700",-2.00,คลองสามวา,,
20,คลองสองตะวันตก,คลองสามวา,คลองพระยาสุเรนทร์, 10 - 15,"5,300",-2.00,คลองสามวา,,
21,คลองสองตะวันออก,คลองสามวา,สุดระยะที่กำหนดให้, 10 - 15,"5,500",-2.00,คลองสามวา,,
22,คลองสามตะวันตก,คลองสามวา,คลองพระยาสุเรนทร์, 10 - 15,"4,400",-2.00,คลองสามวา,,
,,,,,,,,,
,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
23,คลองสามตะวันออก,คลองสามวา,สุดระยะที่กำหนดให้, 10 - 15,"5,300",-2.00,คลองสามวา,,
24,คลองสี่ตะวันตก,คลองสามวา,คลองพระยาสุเรนทร์, 10 - 15,"4,100",-2.00,คลองสามวา,,
25,คลองสี่ตะวันออก,คลองสามวา,คลองเก้า, 10 - 15,"7,000",-2.00,คลองสามวา,,
26,คลองหนองระแหง,คลองพระยาสุเรนทร์,สุดระยะที่กำหนดให้, 8 - 12,"2,600",-2.00,คลองสามวา,,
27,คลองหนึ่งตะวันตก,คลองสามวา,คลองลำกะโหลก, 10 - 15,"3,100",-2.00,คลองสามวา,,
28,คลองหนึ่งตะวันออก,คลองสามวา,คลองบึงแตงโม, 10 - 15,"3,350",-2.00,คลองสามวา,,
,,,,,"90,300",,,,
,คู ลำราง ลำกระโดง,,,,,,,,
1,ลำบึงแยกลำไทร,คลองพระราชดำริ 2,สุดระยะที่กำหนดให้, 10 - 15,"2,350",-2.00,คลองสามวา,,
2,ลำรางเกาะขุนเณร,คลองแสนแสบ,คลองสองตะวันออก, 4 - 6,"3,400",-2.00,คลองสามวา,,
3,ลำรางขวาง,ลำรางล็อค 1 เชื่อมคลองสองตะวันตก,สุดระยะที่กำหนดให้, 2 - 4,"1,300",-2.00,คลองสามวา,,
,,กับคลองสามตะวันตก,,,,,,,
4,ลำรางคูคต,ลำรางสาธารณะ,สุดระยะที่กำหนดให้, 4 - 6,"1,250",-2.00,คลองสามวา,,
5,ลำรางเฉลิมพระเกียรติ,คลองแสนแสบ,บึงสะแกงาม, 2 - 3,"1,100",-2.00,คลองสามวา,,
6,ลำรางเชื่อมคลองกีบหมูกับลำรางคูคต,คลองกีบหมู,ลำรางคูคต, 2 - 4,600,-2.00,คลองสามวา,,
7,ลำรางเชื่อมคลองบางชันกับคลองกีบหมู,คลองบางชัน,คลองกีบหมู, 4 - 6,"1,500",-2.00,คลองสามวา,,
,,,,,,,,,
,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
8,ลำรางเชื่อมคลองพระราชดำริ 2 ,คลองพระราชดำริ 2,คลองสี่ตะวันออก, 2 - 20,"2,800",-2.00,คลองสามวา,,
,กับคลองสี่ตะวันออก ,,,,,,,,
9,ลำรางเชื่อมคลองลำกระโหลก,คลองลำกระโหลก,คลองผักกะเฉด, 4 - 6,700,-2.00,คลองสามวา,,
,กับคลองผักกะเฉด,,,,,,,,
10,ลำรางเชื่อมต่อลำควายตายกับลำรางคูคต,คลองลำควายตาย,ลำรางคูคต, 2 - 4,"1,500",-2.00,คลองสามวา,,
11,ลำรางตาชม,คลองบางชัน,คลองลำควายตาย, 6 - 12,750,-2.00,คลองสามวา,,
12,ลำรางโต๊ะเจริญ,คลองแสนแสบ,สุดระยะที่กำหนดให้, 4 - 6,"1,350",-2.00,คลองสามวา,,
13,ลำรางโต๊ะสมัน,คลองแสนแสบ,สุดระยะที่กำหนดให้, 4 - 6,"1,600",-2.00,คลองสามวา,,
14,ลำรางไทยเอราวัณ,คลองลำกระโหลก,ลำรางหน้า ร.ร.โสมาภา, 2 - 3,"2,500",-2.00,คลองสามวา,,
15,ลำรางบ่อหินแก้ว,คลองบึงไผ่,คลองบึงทรายกองดิน, 10 - 15,"2,300",-2.00,คลองสามวา,,
16,ลำรางบึงนายพล,บึงสะแกงาม,คลองแสนแสบ, 2 - 3,"1,100",-2.00,คลองสามวา,,
17,ลำรางแบนชะโด,คลองแสนแสบ,คลองแบนชะโด, 4 - 6,"3,600",-2.00,คลองสามวา,,
18,ลำรางแบนตาโพ,คลองผักกะเฉด,คลองกีบหมู, 6 - 12,"1,300",-2.00,คลองสามวา,,
19,ลำรางปัญญา,ลำรางไทยเอราวัณ,ลำรางล็อค 1 (ถนนเลียบคลองสอง), 2 - 3,"2,100",-2.00,คลองสามวา,,
20,ลำรางยายบัว,คลองพระยาสุเรนทร์,คลองบางชัน, 4 - 6,950,-2.00,คลองสามวา,,
21,ลำรางยี่หวัง,คลองแบนชะโด,คลองแสนแสบ, 2 - 3,"3,600",-2.00,คลองสามวา,,
,,,,,,,,,
,,,,,,,,,
ลำดับ,ชื่อคลอง,จาก,ถึง,กว้าง(ม.),ยาว (ม.),ระดับ,พื้นที่เขต,,
,,,,,,ขุดลอก,,,
,,,,,,(รทก.),,,
22,ลำรางแยกคลองบางชัน,คลองบางชัน,สุดระยะที่กำหนดให้, 4 - 6,850,-2.00,คลองสามวา,,
23,ลำรางแยกคลองพระยาสุเรนทร์,คลองพระยาสุเรนทร์,ลำรางล็อค4เชื่อมคลองสองตะวันตก, 2 - 4,"1,100",-2.00,คลองสามวา,,
24,ลำรางแยกคลองลำกระโหลก,คลองลำกระโหลก,ลำรางไทยเอราวัณ, 2 - 3,650,-2.00,คลองสามวา,,
