date,dcode,rain_24h,is_forecast
2023-01-01,1001,0.0,False
2023-01-01,1002,0.0,False
2023-01-01,1003,0.0,False
2023-01-01,1004,0.0,False
2023-01-01,1005,0.0,False
2023-01-01,1006,0.0,False
2023-01-01,1007,0.0,False
2023-01-01,1008,0.0,False
2023-01-01,1009,0.0,False
2023-01-01,1010,0.0,False
2023-01-01,1011,0.0,False
2023-01-01,1012,0.0,False
2023-01-01,1013,0.0,False
2023-01-01,1014,0.0,False
2023-01-01,1015,0.0,False
2023-01-01,1016,0.0,False
2023-01-01,1017,0.0,False
2023-01-01,1018,0.0,False
2023-01-01,1019,0.0,False
2023-01-01,1020,0.0,False
2023-01-01,1021,0.0,False
2023-01-01,1022,0.0,False
2023-01-01,1023,0.0,False
2023-01-01,1024,0.0,False
2023-01-01,1025,0.0,False
2023-01-01,1026,0.0,False
2023-01-01,1027,0.0,False
2023-01-01,1028,0.0,False
2023-01-01,1029,0.0,False
2023-01-01,1030,0.0,False
2023-01-01,1031,0.0,False
2023-01-01,1032,0.0,False
2023-01-01,1033,0.0,False
2023-01-01,1034,0.0,False
2023-01-01,1035,0.0,False
2023-01-01,1036,0.0,False
2023-01-01,1037,0.0,False
2023-01-01,1038,0.0,False
2023-01-01,1039,0.0,False
2023-01-01,1040,0.0,False
2023-01-01,1041,0.0,False
2023-01-01,1042,0.0,False
2023-01-01,1043,0.0,False
2023-01-01,1044,0.0,False
2023-01-01,1045,0.0,False
2023-01-01,1046,0.0,False
2023-01-01,1047,0.0,False
2023-01-01,1048,0.0,False
2023-01-01,1049,0.0,False
2023-01-01,1050,0.0,False
2023-01-02,1001,0.0,False
2023-01-02,1002,0.0,False
2023-01-02,1003,0.0,False
2023-01-02,1004,0.0,False
2023-01-02,1005,0.0,False
2023-01-02,1006,0.0,False
2023-01-02,1007,0.0,False
2023-01-02,1008,0.0,False
2023-01-02,1009,0.0,False
2023-01-02,1010,0.0,False
2023-01-02,1011,0.0,False
2023-01-02,1012,0.0,False
2023-01-02,1013,0.0,False
2023-01-02,1014,0.0,False
2023-01-02,1015,0.0,False
2023-01-02,1016,0.0,False
2023-01-02,1017,0.0,False
2023-01-02,1018,0.0,False
2023-01-02,1019,0.0,False
2023-01-02,1020,0.0,False
2023-01-02,1021,0.0,False
2023-01-02,1022,0.0,False
2023-01-02,1023,0.0,False
2023-01-02,1024,0.0,False
2023-01-02,1025,0.0,False
