dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม,year,total_rain,max_daily_rain,avg_daily_rain,heavy_rain_days,total_storm_days,max_storm_intensity
1016,เขตบางกอกใหญ่,6298272.0,72241,34182,38059,6,0,34,13,1,46,0,2,15,11,15,0,4,2024,493.0,49.0,3.423611111111111,0,114,4
1022,เขตภาษีเจริญ,19182494.0,129800,61178,68622,13,0,54,27,2,144,0,0,15,14,15,7,0,2023,1867.5,108.0,5.201949860724234,4,265,4
1022,เขตภาษีเจริญ,19182494.0,129800,61178,68622,13,0,54,27,2,144,0,0,15,14,15,7,0,2024,740.0,71.0,5.138888888888889,1,114,4
1013,เขตสัมพันธวงศ์,1392972.75,27426,13317,14109,3,0,19,13,1,0,0,0,2,2,2,3,2,2023,1406.0,75.0,3.916434540389972,1,265,4
1013,เขตสัมพันธวงศ์,1392972.75,27426,13317,14109,3,0,19,13,1,0,0,0,2,2,2,3,2,2024,460.5,66.5,3.1979166666666665,1,114,4
1033,เขตคลองเตย,13240401.0,109001,52428,56573,4,0,41,3,2,10,0,0,30,28,28,0,13,2023,1909.0,140.5,5.3175487465181055,5,265,4
1033,เขตคลองเตย,13240401.0,109001,52428,56573,4,0,41,3,2,10,0,0,30,28,28,0,13,2024,712.5,96.0,4.947916666666667,2,114,4
1015,เขตธนบุรี,8461864.0,119643,56676,62967,17,0,44,25,3,66,0,4,18,13,18,0,3,2023,1329.0,61.0,3.701949860724234,1,265,4
1015,เขตธนบุรี,8461864.0,119643,56676,62967,17,0,44,25,3,66,0,4,18,13,18,0,3,2024,580.5,78.5,4.03125,1,114,4
1018,เขตคลองสาน,5965976.0,76353,35832,40521,8,1,44,8,1,33,0,7,14,8,10,0,2,2023,1550.0,66.0,4.3175487465181055,3,265,4
1018,เขตคลองสาน,5965976.0,76353,35832,40521,8,1,44,8,1,33,0,7,14,8,10,0,2,2024,528.0,59.5,3.6666666666666665,0,114,4
1032,เขตประเวศ,53728764.0,160816,76182,84634,16,0,42,6,1,29,0,2,18,18,18,8,3,2023,1437.0,111.5,4.002785515320334,2,265,4
1032,เขตประเวศ,53728764.0,160816,76182,84634,16,0,42,6,1,29,0,2,18,18,18,8,3,2024,628.5,87.0,4.364583333333333,2,114,4
1004,เขตบางรัก,4012576.0,46112,21788,24324,5,0,16,5,1,10,0,0,8,8,8,0,1,2023,1515.5,67.5,4.221448467966574,2,265,4
1004,เขตบางรัก,4012576.0,46112,21788,24324,5,0,16,5,1,10,0,0,8,8,8,0,1,2024,532.5,70.5,3.6979166666666665,1,114,4
1023,เขตหนองแขม,36201384.0,150285,70457,79828,6,1,71,7,1,15,0,0,7,6,7,0,5,2023,1104.5,67.5,3.0766016713091924,2,265,4
1023,เขตหนองแขม,36201384.0,150285,70457,79828,6,1,71,7,1,15,0,0,7,6,7,0,5,2024,461.0,43.0,3.201388888888889,0,114,4
1028,เขตสาทร,7259143.0,85048,40560,44488,2,0,25,3,1,14,1,0,4,4,4,1,10,2023,1513.0,86.0,4.2144846796657385,3,265,4
1028,เขตสาทร,7259143.0,85048,40560,44488,2,0,25,3,1,14,1,0,4,4,4,1,10,2024,501.5,66.5,3.482638888888889,1,114,4
1012,เขตยานนาวา,12504782.0,81529,38959,42570,6,0,20,9,2,22,0,0,1,1,1,1,1,2023,1514.5,81.0,4.218662952646239,4,265,4
1012,เขตยานนาวา,12504782.0,81529,38959,42570,6,0,20,9,2,22,0,0,1,1,1,1,1,2024,518.5,46.5,3.6006944444444446,0,114,4
1035,เขตจอมทอง,23167158.0,157970,75840,82130,11,0,53,16,1,52,0,1,12,12,12,1,1,2023,1360.0,92.5,3.788300835654596,1,265,4
1035,เขตจอมทอง,23167158.0,157970,75840,82130,11,0,53,16,1,52,0,1,12,12,12,1,1,2024,618.0,61.0,4.291666666666667,1,114,4
1031,เขตบางคอแหลม,8312167.0,94877,45548,49329,7,1,29,11,3,41,0,8,1,0,1,3,3,2023,1455.5,92.5,4.054317548746518,2,265,4
1031,เขตบางคอแหลม,8312167.0,94877,45548,49329,7,1,29,11,3,41,0,8,1,0,1,3,3,2024,465.5,49.5,3.232638888888889,0,114,4
