dcode,dname,AREA,population,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,canal_count,flood_point_count,floodgate_count,pump_number,pump_ready,total_ready,จำนวนจุดเสี่ยง,จำนวนจุดเฝ้าระวังน้ำท่วม,year,total_rain,max_daily_rain,avg_daily_rain,heavy_rain_days,total_storm_days,max_storm_intensity,rain_load_per_pump,pump_density,canal_density,pop_density,retention_capacity
1026,เขตดินแดง,8465891.0,130202,60811,69391,3,0,22,2,2,10,0,1,2,2,2,2,2,2023,1600.0,67.0,4.456824512534819,2,265,4,800.0,2.3624211556704427e-07,1.1812105778352214e-06,0.015379597965530149,11
1026,เขตดินแดง,8465891.0,130202,60811,69391,3,0,22,2,2,10,0,1,2,2,2,2,2,2024,542.0,69.5,3.763888888888889,1,114,4,271.0,2.3624211556704427e-07,1.1812105778352214e-06,0.015379597965530149,11
1019,เขตตลิ่งชัน,35767720.0,106532,50263,56269,16,0,44,30,1,27,1,2,26,25,25,2,2,2023,1962.0,108.0,5.465181058495822,5,265,4,75.46153846153847,7.269124227096387e-07,7.548705928138556e-07,0.002978439777542432,29
1019,เขตตลิ่งชัน,35767720.0,106532,50263,56269,16,0,44,30,1,27,1,2,26,25,25,2,2,2024,552.5,53.0,3.8368055555555554,0,114,4,21.25,7.269124227096387e-07,7.548705928138556e-07,0.002978439777542432,29
1002,เขตดุสิต,11329900.0,107969,57582,50387,9,1,47,17,2,20,2,1,10,9,10,1,10,2023,1667.5,74.5,4.644846796657381,4,265,4,166.75,8.826203232155623e-07,1.7652406464311246e-06,0.009529563367726106,21
1002,เขตดุสิต,11329900.0,107969,57582,50387,9,1,47,17,2,20,2,1,10,9,10,1,10,2024,478.5,58.5,3.3229166666666665,0,114,4,47.85,8.826203232155623e-07,1.7652406464311246e-06,0.009529563367726106,21
1044,เขตสะพานสูง,28068656.0,89895,41610,48285,6,0,30,1,1,24,0,0,30,21,26,3,0,2023,1585.5,95.5,4.4164345403899725,5,265,4,52.85,1.0688078545691678e-06,8.550462836553343e-07,0.0032026827362165115,24
1044,เขตสะพานสูง,28068656.0,89895,41610,48285,6,0,30,1,1,24,0,0,30,21,26,3,0,2024,572.0,66.0,3.9722222222222223,1,114,4,19.066666666666666,1.0688078545691678e-06,8.550462836553343e-07,0.0032026827362165115,24
1014,เขตพญาไท,9214668.0,73084,36433,36651,1,0,29,1,2,5,1,0,7,7,7,0,3,2023,2048.5,88.0,5.706128133704736,5,265,4,292.64285714285717,7.596584054900296e-07,5.426131467785925e-07,0.007931267843833332,5
1014,เขตพญาไท,9214668.0,73084,36433,36651,1,0,29,1,2,5,1,0,7,7,7,0,3,2024,548.5,64.0,3.8090277777777777,1,114,4,78.35714285714286,7.596584054900296e-07,5.426131467785925e-07,0.007931267843833332,5
1020,เขตบางกอกน้อย,12323945.0,117950,55984,61966,15,0,43,32,1,40,0,2,3,1,3,0,1,2023,1619.5,104.5,4.511142061281337,4,265,4,539.8333333333334,2.4342854499918655e-07,3.245713933322487e-06,0.009570798960884684,42
1020,เขตบางกอกน้อย,12323945.0,117950,55984,61966,15,0,43,32,1,40,0,2,3,1,3,0,1,2024,549.5,53.0,3.8159722222222223,0,114,4,183.16666666666666,2.4342854499918655e-07,3.245713933322487e-06,0.009570798960884684,42
1037,เขตราชเทวี,7167652.0,73280,35190,38090,4,0,25,4,1,7,1,0,1,0,1,2,5,2023,1888.5,96.5,5.2604456824512535,5,265,4,1888.5,1.3951570193418988e-07,9.766099135393291e-07,0.010223710637737434,7
1037,เขตราชเทวี,7167652.0,73280,35190,38090,4,0,25,4,1,7,1,0,1,0,1,2,5,2024,589.5,59.5,4.09375,0,114,4,589.5,1.3951570193418988e-07,9.766099135393291e-07,0.010223710637737434,7
1001,เขตพระนคร,5361067.0,57831,27809,30022,11,0,21,23,2,12,1,0,4,2,4,0,1,2023,1763.5,124.0,4.912256267409471,5,265,4,440.875,7.46120128698261e-07,2.238360386094783e-06,0.010787218290687283,12
1001,เขตพระนคร,5361067.0,57831,27809,30022,11,0,21,23,2,12,1,0,4,2,4,0,1,2024,625.5,79.0,4.34375,1,114,4,156.375,7.46120128698261e-07,2.238360386094783e-06,0.010787218290687283,12
1008,เขตป้อมปราบศัตรูพ่าย,2504113.0,50930,24786,26144,4,1,15,11,1,8,0,0,2,2,2,0,0,2023,1402.0,100.5,3.905292479108635,3,265,4,701.0,7.986860017898554e-07,3.1947440071594215e-06,0.020338539035578668,8
1008,เขตป้อมปราบศัตรูพ่าย,2504113.0,50930,24786,26144,4,1,15,11,1,8,0,0,2,2,2,0,0,2024,437.5,60.5,3.0381944444444446,1,114,4,218.75,7.986860017898554e-07,3.1947440071594215e-06,0.020338539035578668,8
1007,เขตปทุมวัน,8032768.0,53912,24883,29029,8,0,17,6,2,13,1,1,1,0,1,0,1,2023,1599.5,100.0,4.455431754874652,5,265,4,1599.5,1.2449008859710624e-07,1.6183711517623812e-06,0.006711509656447193,14
1007,เขตปทุมวัน,8032768.0,53912,24883,29029,8,0,17,6,2,13,1,1,1,0,1,0,1,2024,517.5,57.5,3.59375,0,114,4,517.5,1.2449008859710624e-07,1.6183711517623812e-06,0.006711509656447193,14
