dcode,dname,เขต,รหัสสถานี,สถานี,วัน-เวลา,ฝน 5 นาที,ฝน 15 นาที,ฝน 30 นาที,ฝน 1 ชม.,ฝน 3 ชม.,ฝน 6 ชม.,ฝน 12 ชม.,ฝน 24 ชม.,date_object,season,active_storms_count,max_vmax_all_storms,min_mlsp_all_storms,active_storm_names
1021,เขตบางขุนเทียน,บางขุนเทียน,RF.BKT.01,สนข.บางขุนเทียน,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1005,เขตบางเขน,บางเขน,RF.BKA.01,สนข.บางเขน,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1031,เขตบางคอแหลม,บางคอแหลม,RF.BKL.01,สนข.บางคอแหลม,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1040,เขตบางแค,บางแค,RF.BKE.01,สนข.บางแค,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1029,เขตบางซื่อ,บางซื่อ,RF.BSU.01,สนข.บางซื่อ,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1047,เขตบางนา,บางนา,RF.BNA.01,สนข.บางนา,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1050,เขตบางบอน,บางบอน,RF.BBN.01,สนข.บางบอน,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1025,เขตบางพลัด,บางพลัด,RF.BPD.01,สนข.บางพลัด,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1004,เขตบางรัก,บางรัก,RF.BRK.01,สนข.บางรัก,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1027,เขตบึงกุ่ม,บึงกุ่ม,RF.BKM.01,สนข.บึงกุ่ม,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1007,เขตปทุมวัน,ปทุมวัน,RF.PTW.01,สนข.ปทุมวัน,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1032,เขตประเวศ,ประเวศ,RF.PWT.01,สนข.ประเวศ,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1008,เขตป้อมปราบศัตรูพ่าย,ป้อมปราบฯ,RF.PPS.01,สนข.ป้อมปราบฯ,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1014,เขตพญาไท,พญาไท,RF.PYT.01,สนข.พญาไท,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1009,เขตพระโขนง,พระโขนง,RF.PKN.01,สนข.พระโขนง,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1001,เขตพระนคร,พระนคร,RF.PNK.01,สนข.พระนคร,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1022,เขตภาษีเจริญ,ภาษีเจริญ,RF.PSC.01,สนข.ภาษีเจริญ,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1010,เขตมีนบุรี,มีนบุรี,RF.MBR.01,สนข.มีนบุรี,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1012,เขตยานนาวา,ยานนาวา,RF.YNW.01,สนข.ยานนาวา,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1037,เขตราชเทวี,ราชเทวี,RF.RTW.01,สนข.ราชเทวี,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1024,เขตราษฏร์บูรณะ,ราษฏร์บูรณะ,RF.RBN.01,สนข.ราษฎร์บูรณะ,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1011,เขตลาดกระบัง,ลาดกระบัง,RF.LKB.02,ปตร.คลองประเวศฯ-ลาดกระบัง,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
1038,เขตลาดพร้าว,ลาดพร้าว,RF.LPW.01,สนข.ลาดพร้าว,01/01/2566 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-01-01,Winter,0,0.0,,[]
